Date,Hotel,Room_Available,Room_Sold,ADR,Room_Revenue
2025-01-01,Liberta,100,97,780813.0,75738861.0
2025-01-01,Daun Bali Seminyak Hotel,91,90,844246.0,75982140.0
2025-01-01,Kamania Hotel Petitenget,134,129,869032.0,112105128.0
2025-01-01,D'Prima Hotel Petitenget,112,104,890714.0,92634256.0
2025-01-01,Paragon Suites & Resort,115,98,930323.0,91171654.0
2025-01-01,The Capital Hotel & Resort Seminyak,119,99,1109175.0,109808325.0
2025-01-02,Liberta,100,80,422087.0,33766960.0
2025-01-02,D'Prima Hotel Petitenget,112,89,645765.0,57473085.0
2025-01-02,Paragon Suites & Resort,115,101,677171.0,68394271.0
2025-01-02,Kamania Hotel Petitenget,134,120,677709.0,81325080.0
2025-01-02,Daun Bali Seminyak Hotel,90,86,682788.0,58719768.0
2025-01-02,The Capital Hotel & Resort Seminyak,119,97,907750.0,88051750.0
2025-01-03,Liberta,100,86,373417.0,32113862.0
2025-01-03,D'Prima Hotel Petitenget,112,110,400401.0,44044110.0
2025-01-03,Daun Bali Seminyak Hotel,90,84,611515.0,51367260.0
2025-01-03,Paragon Suites & Resort,115,99,666943.0,66027357.0
2025-01-03,Kamania Hotel Petitenget,134,117,667599.0,78109083.0
2025-01-03,The Capital Hotel & Resort Seminyak,119,96,691454.0,66379584.0
2025-01-04,Liberta,100,81,351346.0,28459026.0
2025-01-04,D'Prima Hotel Petitenget,112,110,399013.0,43891430.0
2025-01-04,Paragon Suites & Resort,115,92,435492.0,40065264.0
2025-01-04,Daun Bali Seminyak Hotel,91,84,551645.0,46338180.0
2025-01-04,The Capital Hotel & Resort Seminyak,119,95,643202.0,61104190.0
2025-01-04,Kamania Hotel Petitenget,134,105,650575.0,68310375.0
2025-01-05,Liberta,100,89,373273.0,33221297.0
2025-01-05,D'Prima Hotel Petitenget,112,102,398569.0,40654038.0
2025-01-05,Paragon Suites & Resort,115,89,428139.0,38104371.0
2025-01-05,Daun Bali Seminyak Hotel,90,87,514427.0,44755149.0
2025-01-05,Kamania Hotel Petitenget,134,86,540771.0,46506306.0
2025-01-05,The Capital Hotel & Resort Seminyak,119,67,548580.0,36754860.0
2025-01-06,Liberta,100,87,351222.0,30556314.0
2025-01-06,D'Prima Hotel Petitenget,112,98,392427.0,38457846.0
2025-01-06,Paragon Suites & Resort,115,82,410218.0,33637876.0
2025-01-06,Daun Bali Seminyak Hotel,90,73,508382.0,37111886.0
2025-01-06,Kamania Hotel Petitenget,134,95,517193.0,49133335.0
2025-01-06,The Capital Hotel & Resort Seminyak,119,63,519096.0,32703048.0
2025-01-07,Liberta,100,81,278077.0,22524237.0
2025-01-07,D'Prima Hotel Petitenget,112,101,398552.0,40253752.0
2025-01-07,Paragon Suites & Resort,115,87,416121.0,36202527.0
2025-01-07,Kamania Hotel Petitenget,134,99,479323.0,47452977.0
2025-01-07,Daun Bali Seminyak Hotel,88,57,482181.0,27484317.0
2025-01-07,The Capital Hotel & Resort Seminyak,119,71,532798.0,37828658.0
2025-01-08,Liberta,100,76,250871.0,19066196.0
2025-01-08,D'Prima Hotel Petitenget,112,64,402166.0,25738624.0
2025-01-08,Paragon Suites & Resort,115,74,402215.0,29763910.0
2025-01-08,Daun Bali Seminyak Hotel,89,53,457072.0,24224816.0
2025-01-08,Kamania Hotel Petitenget,134,98,490012.0,48021176.0
2025-01-08,The Capital Hotel & Resort Seminyak,119,59,500796.0,29546964.0
2025-01-09,Liberta,100,80,222335.0,17786800.0
2025-01-09,Paragon Suites & Resort,115,67,309373.0,20727991.0
2025-01-09,D'Prima Hotel Petitenget,112,75,363348.0,27251100.0
2025-01-09,Daun Bali Seminyak Hotel,91,48,447066.0,21459168.0
2025-01-09,Kamania Hotel Petitenget,134,94,495335.0,46561490.0
2025-01-09,The Capital Hotel & Resort Seminyak,119,55,526070.0,28933850.0
2025-01-10,Liberta,100,79,224105.0,17704295.0
2025-01-10,Paragon Suites & Resort,115,76,301215.0,22892340.0
2025-01-10,D'Prima Hotel Petitenget,112,82,339112.0,27807184.0
2025-01-10,Daun Bali Seminyak Hotel,91,69,446060.0,30778140.0
2025-01-10,Kamania Hotel Petitenget,134,110,495650.0,54521500.0
2025-01-10,The Capital Hotel & Resort Seminyak,119,64,541581.0,34661184.0
2025-01-11,Liberta,100,85,220120.0,18710200.0
2025-01-11,Paragon Suites & Resort,115,80,305529.0,24442320.0
